PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41492468","Multi-omic integration identifies broad drug resistance mechanisms and strategies to therapeutically reprogram cancer cells","Mersich I, Blagg BSJ, Ali A.","iScience. 2025 Nov 28;29(1):114293. doi: 10.1016/j.isci.2025.114293. eCollection 2026 Jan 16.","Mersich I","iScience","2025","2026/01/06","PMC12765193","","10.1016/j.isci.2025.114293"
"41511918","Mechanisms of cellular senescence combined with molecular docking strategies: A biomarker study of potential therapeutic targets for allergic rhinitis","Chen Q, Zhang H, Wu Y, Liu J, Wang D, Sun D, Chen Z, Lin L, Lv H, Shao Q.","PLoS One. 2026 Jan 9;21(1):e0338309. doi: 10.1371/journal.pone.0338309. eCollection 2026.","Chen Q","PLoS One","2026","2026/01/09","PMC12788676","","10.1371/journal.pone.0338309"
"41482355","Comparative Transcriptomic Analysis Identifies Predictive Biomarkers of Pathological Complete Response in Triple-negative Breast Cancer","Chen FM, Li CL, Pan MR, Huang YC, Huang LJ, Moi SH, Chang SJ, Yang PF, Kao CN, Kan JY, Ko LK, Takahashi H, Kuo CY, Shih SL, Hou MF, Lin YH, Luo CW.","Cancer Genomics Proteomics. 2026 Jan-Feb;23(1):66-80. doi: 10.21873/cgp.20561.","Chen FM","Cancer Genomics Proteomics","2026","2026/01/02","PMC12758711","","10.21873/cgp.20561"
"41356191","Berberine suppresses colon inflammation via integrated modulation of host metabolism, microbial ecology, and innate immune signaling","Xiao Y, Li X, Fang Y, Guo M, Shui M, Zhong G, Zhou H, Lin C, Sun B, Wang S.","Theranostics. 2026 Jan 1;16(4):2019-2036. doi: 10.7150/thno.116546. eCollection 2026.","Xiao Y","Theranostics","2026","2025/12/08","PMC12680593","","10.7150/thno.116546"
"41235679","Identification of multimorbidity hub genes for knee osteoarthritis-atherosclerosis and potential clinical applications","Kang Q, Yuan P, Xie P, Xiao W, Dong L, Guan Z, Zhang K.","Mol Med Rep. 2026 Jan;33(1):40. doi: 10.3892/mmr.2025.13750. Epub 2025 Nov 14.","Kang Q","Mol Med Rep","2026","2025/11/14","PMC12641210","","10.3892/mmr.2025.13750"
"41461900","A multimodal vision knowledge graph of cardiovascular disease","Rjoob K, McGurk KA, Zheng SL, Curran L, Ibrahim M, Zeng L, Kim V, Tahasildar S, Kalaie S, Senevirathne DS, Gifani P, Losev V, Zheng J, Bai W, de Marvao A, Ware JS, Bender C, O'Regan DP.","Nat Cardiovasc Res. 2025 Dec 29. doi: 10.1038/s44161-025-00757-4. Online ahead of print.","Rjoob K","Nat Cardiovasc Res","2025","2025/12/30","","","10.1038/s44161-025-00757-4"
"41461683","Genomic analysis unlocks the potential of denosumab as a targeted therapy for Crohn's disease","Pranata R, Ratnasari N, Bayupurnama P, Indrarti F, Aulia N, Rahmawati H, Adikusuma W, Mugiyanto E, Irham LM, Gunarto C, Alya SS, Hadi VF, Sentosa GC, Wahyuningsih AT, Lin CF, Satria RD.","Sci Rep. 2025 Dec 29;15(1):44713. doi: 10.1038/s41598-025-28395-7.","Pranata R","Sci Rep","2025","2025/12/29","PMC12749831","","10.1038/s41598-025-28395-7"
"41449193","Explainable machine learning identifies immune-inflammatory biomarkers and therapeutic candidates in drug-resistant epilepsy","Ijaz T, Maqsood H, Rehman A, Tahir Ul Qamar M, Ashfaq UA.","Sci Rep. 2025 Dec 25;16(1):965. doi: 10.1038/s41598-025-30401-x.","Ijaz T","Sci Rep","2025","2025/12/25","PMC12783092","","10.1038/s41598-025-30401-x"
"41444310","Decoding molecular signatures and identifying therapeutic targets in triple-negative breast cancer subtypes using omics and network analysis","Sanyal D, AlShahrani AM, Kar S, Ahmad SR, Mal C, Mondal SK.","Sci Rep. 2025 Dec 24;15(1):44469. doi: 10.1038/s41598-025-28191-3.","Sanyal D","Sci Rep","2025","2025/12/24","PMC12738556","","10.1038/s41598-025-28191-3"
"41497603","A Druggable Tumor Suppressor and Leukemic Stem Cell Marker","Pan Y, Meng X, Wang C, Zhou W, Chen Y, Hammer RD, Zheng H, Hildebrandt G, Kang X.","bioRxiv [Preprint]. 2025 Dec 22:2025.10.16.682831. doi: 10.1101/2025.10.16.682831.","Pan Y","bioRxiv","2025","2026/01/07","PMC12767310","","10.1101/2025.10.16.682831"
