PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38459338","A small-molecule TNIK inhibitor targets fibrosis in preclinical and clinical models","Ren F, Aliper A, Chen J, Zhao H, Rao S, Kuppe C, Ozerov IV, Zhang M, Witte K, Kruse C, Aladinskiy V, Ivanenkov Y, Polykovskiy D, Fu Y, Babin E, Qiao J, Liang X, Mou Z, Wang H, Pun FW, Torres-Ayuso P, Veviorskiy A, Song D, Liu S, Zhang B, Naumov V, Ding X, Kukharenko A, Izumchenko E, Zhavoronkov A.","Nat Biotechnol. 2025 Jan;43(1):63-75. doi: 10.1038/s41587-024-02143-0. Epub 2024 Mar 8.","Ren F","Nat Biotechnol","2025","2024/03/08","PMC11738990","","10.1038/s41587-024-02143-0"
"39572784","Genome-wide association study reveals mechanisms underlying dilated cardiomyopathy and myocardial resilience","Jurgens SJ, Rämö JT, Kramarenko DR, Wijdeveld LFJM, Haas J, Chaffin MD, Garnier S, Gaziano L, Weng LC, Lipov A, Zheng SL, Henry A, Huffman JE, Challa S, Rühle F, Verdugo CD, Krijger Juárez C, Kany S, van Orsouw CA, Biddinger K, Poel E, Elliott AL, Wang X, Francis C, Ruan R, Koyama S, Beekman L, Zimmerman DS, Deleuze JF, Villard E, Trégouët DA, Isnard R; FinnGen; VA Million Veteran Program; HERMES Consortium; Boomsma DI, de Geus EJC, Tadros R, Pinto YM, Wilde AAM, Hottenga JJ, Sinisalo J, Niiranen T, Walsh R, Schmidt AF, Choi SH, Chang KM, Tsao PS, Matthews PM, Ware JS, Lumbers RT, van der Crabben S, Laukkanen J, Palotie A, Amin AS, Charron P, Meder B, Ellinor PT, Daly M, Aragam KG, Bezzina CR.","Nat Genet. 2024 Dec;56(12):2636-2645. doi: 10.1038/s41588-024-01975-5. Epub 2024 Nov 21.","Jurgens SJ","Nat Genet","2024","2024/11/21","PMC11631763","","10.1038/s41588-024-01975-5"
"39430886","Toxicogenomic assessment of in vitro macrophages exposed to profibrotic challenge reveals a sustained transcriptomic immune signature","Morikka J, Federico A, Möbus L, Inkala S, Pavel A, Sani S, Vaani M, Peltola S, Serra A, Greco D.","Comput Struct Biotechnol J. 2024 Oct 8;25:194-204. doi: 10.1016/j.csbj.2024.10.010. eCollection 2024 Dec.","Morikka J","Comput Struct Biotechnol J","2024","2024/10/21","PMC11490883","","10.1016/j.csbj.2024.10.010"
"39240351","Implicating type 2 diabetes effector genes in relevant metabolic cellular models using promoter-focused Capture-C","Wachowski NA, Pippin JA, Boehm K, Lu S, Leonard ME, Manduchi E, Parlin UW, Wabitsch M, Chesi A, Wells AD, Grant SFA, Pahl MC.","Diabetologia. 2024 Dec;67(12):2740-2753. doi: 10.1007/s00125-024-06261-x. Epub 2024 Sep 6.","Wachowski NA","Diabetologia","2024","2024/09/06","PMC11604697","","10.1007/s00125-024-06261-x"
"39130617","Comprehensive applications of the artificial intelligence technology in new drug research and development","Chen H, Lu D, Xiao Z, Li S, Zhang W, Luan X, Zhang W, Zheng G.","Health Inf Sci Syst. 2024 Aug 8;12(1):41. doi: 10.1007/s13755-024-00300-y. eCollection 2024 Dec.","Chen H","Health Inf Sci Syst","2024","2024/08/12","PMC11310389","","10.1007/s13755-024-00300-y"
"38261917","Network-based identification and mechanism exploration of active ingredients against Alzheimer's disease via targeting endoplasmic reticulum stress from traditional chinese medicine","Dai Z, Hu T, Wei J, Wang X, Cai C, Gu Y, Hu Y, Wang W, Wu Q, Fang J.","Comput Struct Biotechnol J. 2023 Dec 20;23:506-519. doi: 10.1016/j.csbj.2023.12.017. eCollection 2024 Dec.","Dai Z","Comput Struct Biotechnol J","2023","2024/01/23","PMC10796977","","10.1016/j.csbj.2023.12.017"
"39578878","Mapping in silico genetic networks of the KMT2D tumour suppressor gene to uncover novel functional associations and cancer cell vulnerabilities","Takemon Y, Pleasance ED, Gagliardi A, Hughes CS, Csizmok V, Wee K, Trinh DL, Huff RD, Mungall AJ, Moore RA, Chuah E, Mungall KL, Lewis E, Nelson J, Lim HJ, Renouf DJ, Jones SJ, Laskin J, Marra MA.","Genome Med. 2024 Nov 22;16(1):136. doi: 10.1186/s13073-024-01401-9.","Takemon Y","Genome Med","2024","2024/11/23","PMC11583415","","10.1186/s13073-024-01401-9"
"39543721","Accelerated hit identification with target evaluation, deep learning and automated labs: prospective validation in IRAK1","Kamuntavičius G, Prat A, Paquet T, Bastas O, Aty HA, Sun Q, Andersen CB, Harman J, Siladi ME, Rines DR, Flatters SJL, Tal R, Norvaišas P.","J Cheminform. 2024 Nov 14;16(1):127. doi: 10.1186/s13321-024-00914-0.","Kamuntavičius G","J Cheminform","2024","2024/11/15","PMC11566907","","10.1186/s13321-024-00914-0"
"39500920","Network medicine informed multiomics integration identifies drug targets and repurposable medicines for Amyotrophic Lateral Sclerosis","Yu M, Xu J, Dutta R, Trapp B, Pieper AA, Cheng F.","NPJ Syst Biol Appl. 2024 Nov 5;10(1):128. doi: 10.1038/s41540-024-00449-y.","Yu M","NPJ Syst Biol Appl","2024","2024/11/05","PMC11538253","","10.1038/s41540-024-00449-y"
"39488509","Deciphering the oncogenic potential of ADAM9 in hepatocellular carcinoma through bioinformatics and experimental approaches","Jiang L, Huang W, Cao M, Jiang Y, Li S, Li M, Yang R, Wu Z, Wang Y, Lv C, Huang Z.","Sci Rep. 2024 Nov 2;14(1):26432. doi: 10.1038/s41598-024-74650-8.","Jiang L","Sci Rep","2024","2024/11/03","PMC11531474","","10.1038/s41598-024-74650-8"
"39485774","A novel small molecule screening assay using normal human chondrocytes toward osteoarthritis drug discovery","Coryell PR, Hardy PB, Chubinskaya S, Pearce KH, Loeser RF.","PLoS One. 2024 Nov 1;19(11):e0308647. doi: 10.1371/journal.pone.0308647. eCollection 2024.","Coryell PR","PLoS One","2024","2024/11/01","PMC11530018","","10.1371/journal.pone.0308647"
"39376159","Genetic analysis of cognitive preservation in the midwestern Amish reveals a novel locus on chromosome 2","Main LR, Song YE, Lynn A, Laux RA, Miskimen KL, Osterman MD, Cuccaro ML, Ogrocki PK, Lerner AJ, Vance JM, Fuzzell D, Fuzzell SL, Hochstetler SD, Dorfsman DA, Caywood LJ, Prough MB, Adams LD, Clouse JE, Herington SD, Scott WK, Pericak-Vance MA, Haines JL.","Alzheimers Dement. 2024 Nov;20(11):7453-7464. doi: 10.1002/alz.14045. Epub 2024 Oct 8.","Main LR","Alzheimers Dement","2024","2024/10/08","PMC11567819","","10.1002/alz.14045"
"39349817","Multivariate genomic analysis of 5 million people elucidates the genetic architecture of shared components of the metabolic syndrome","Park S, Kim S, Kim B, Kim DS, Kim J, Ahn Y, Kim H, Song M, Shim I, Jung SH, Cho C, Lim S, Hong S, Jo H, Fahed AC, Natarajan P, Ellinor PT, Torkamani A, Park WY, Yu TY, Myung W, Won HH.","Nat Genet. 2024 Nov;56(11):2380-2391. doi: 10.1038/s41588-024-01933-1. Epub 2024 Sep 30.","Park S","Nat Genet","2024","2024/09/30","PMC11549047","","10.1038/s41588-024-01933-1"
"38558274","Assessing the Chemical Profile and Biological Potentials of Tamarix aphylla (L.) H.Karst. and Tamarix senegalensis DC. by In Vitro, In Silico, and Network Methodologies","Mahadi TM, Yagi S, Nilofar, Caprioli G, Piatti D, Ricciutelli M, Uba AI, Ponniya SKM, Eltigani SM, Zengin G.","Appl Biochem Biotechnol. 2024 Nov;196(11):7762-7791. doi: 10.1007/s12010-024-04924-4. Epub 2024 Apr 1.","Mahadi TM","Appl Biochem Biotechnol","2024","2024/04/01","","","10.1007/s12010-024-04924-4"
"39406500","PWAS Hub for exploring gene-based associations of common complex diseases","Kelman G, Zucker R, Brandes N, Linial M.","Genome Res. 2024 Oct 29;34(10):1674-1686. doi: 10.1101/gr.278916.123.","Kelman G","Genome Res","2024","2024/10/15","PMC11529988","","10.1101/gr.278916.123"
"39468075","Transcriptome-wide Mendelian randomization during CD4(+) T cell activation reveals immune-related drug targets for cardiometabolic diseases","Wu X, Ying H, Yang Q, Yang Q, Liu H, Ding Y, Zhao H, Chen Z, Zheng R, Lin H, Wang S, Li M, Wang T, Zhao Z, Xu M, Chen Y, Xu Y, Vincent EE, Borges MC, Gaunt TR, Ning G, Wang W, Bi Y, Zheng J, Lu J.","Nat Commun. 2024 Oct 28;15(1):9302. doi: 10.1038/s41467-024-53621-7.","Wu X","Nat Commun","2024","2024/10/29","PMC11519452","","10.1038/s41467-024-53621-7"
"39526039","Predicting 'pain genes': multi-modal data integration using probabilistic classifiers and interaction networks","Zhao N, Bennett DL, Baskozos G, Barry AM.","Bioinform Adv. 2024 Oct 18;4(1):vbae156. doi: 10.1093/bioadv/vbae156. eCollection 2024.","Zhao N","Bioinform Adv","2024","2024/11/11","PMC11549022","","10.1093/bioadv/vbae156"
"39418301","Partial correlation network analysis identifies coordinated gene expression within a regional cluster of COPD genome-wide association signals","Gentili M, Glass K, Maiorino E, Hobbs BD, Xu Z, Castaldi PJ, Cho MH, Hersh CP, Qiao D, Morrow JD, Carey VJ, Platig J, Silverman EK.","PLoS Comput Biol. 2024 Oct 17;20(10):e1011079. doi: 10.1371/journal.pcbi.1011079. eCollection 2024 Oct.","Gentili M","PLoS Comput Biol","2024","2024/10/17","PMC11521246","","10.1371/journal.pcbi.1011079"
"39406732","Expanding drug targets for 112 chronic diseases using a machine learning-assisted genetic priority score","Chen R, Duffy Á, Petrazzini BO, Vy HM, Stein D, Mort M, Park JK, Schlessinger A, Itan Y, Cooper DN, Jordan DM, Rocheleau G, Do R.","Nat Commun. 2024 Oct 15;15(1):8891. doi: 10.1038/s41467-024-53333-y.","Chen R","Nat Commun","2024","2024/10/15","PMC11480483","","10.1038/s41467-024-53333-y"
"39403933","An emerging multi-omic understanding of the genetics of opioid addiction","Johnson EO, Fisher HS, Sullivan KA, Corradin O, Sanchez-Roige S, Gaddis NC, Sami YN, Townsend A, Teixeira Prates E, Pavicic M, Kruse P, Chesler EJ, Palmer AA, Troiani V, Bubier JA, Jacobson DA, Maher BS.","J Clin Invest. 2024 Oct 15;134(20):e172886. doi: 10.1172/JCI172886.","Johnson EO","J Clin Invest","2024","2024/10/15","PMC11473141","","10.1172/JCI172886"
"39375560","Genome-wide association testing beyond SNPs","Harris L, McDonagh EM, Zhang X, Fawcett K, Foreman A, Daneck P, Sergouniotis PI, Parkinson H, Mazzarotto F, Inouye M, Hollox EJ, Birney E, Fitzgerald T.","Nat Rev Genet. 2024 Oct 7. doi: 10.1038/s41576-024-00778-y. Online ahead of print.","Harris L","Nat Rev Genet","2024","2024/10/07","","","10.1038/s41576-024-00778-y"
"39409999","Secondary Transcriptomic Analysis of Triple-Negative Breast Cancer Reveals Reliable Universal and Subtype-Specific Mechanistic Markers","Rapier-Sharman N, Spendlove MD, Poulsen JB, Appel AE, Wiscovitch-Russo R, Vashee S, Gonzalez-Juarbe N, Pickett BE.","Cancers (Basel). 2024 Oct 2;16(19):3379. doi: 10.3390/cancers16193379.","Rapier-Sharman N","Cancers (Basel)","2024","2024/10/16","PMC11476281","","10.3390/cancers16193379"
"39353893","The genetic landscape of basal ganglia and implications for common brain disorders","Bahrami S, Nordengen K, Rokicki J, Shadrin AA, Rahman Z, Smeland OB, Jaholkowski PP, Parker N, Parekh P, O'Connell KS, Elvsåshagen T, Toft M, Djurovic S, Dale AM, Westlye LT, Kaufmann T, Andreassen OA.","Nat Commun. 2024 Oct 1;15(1):8476. doi: 10.1038/s41467-024-52583-0.","Bahrami S","Nat Commun","2024","2024/10/01","PMC11445552","","10.1038/s41467-024-52583-0"
"39327534","Mapping biological influences on the human plasma proteome beyond the genome","Carrasco-Zanini J, Wheeler E, Uluvar B, Kerrison N, Koprulu M, Wareham NJ, Pietzner M, Langenberg C.","Nat Metab. 2024 Oct;6(10):2010-2023. doi: 10.1038/s42255-024-01133-5. Epub 2024 Sep 26.","Carrasco-Zanini J","Nat Metab","2024","2024/09/26","PMC11496106","","10.1038/s42255-024-01133-5"
"39284974","Systematic prioritization of functional variants and effector genes underlying colorectal cancer risk","Law PJ, Studd J, Smith J, Vijayakrishnan J, Harris BT, Mandelia M, Mills C, Dunlop MG, Houlston RS.","Nat Genet. 2024 Oct;56(10):2104-2111. doi: 10.1038/s41588-024-01900-w. Epub 2024 Sep 16.","Law PJ","Nat Genet","2024","2024/09/16","PMC11525171","","10.1038/s41588-024-01900-w"
"39399035","Leveraging the Genetics of Psychiatric Disorders to Prioritize Potential Drug Targets and Compounds","Parker N, Koch E, Shadrin AA, Fuhrer J, Hindley GFL, Stinson S, Jaholkowski P, Tesfaye M, Dale AM, Wingo TS, Wingo AP, Frei O, O'Connell KS, Smeland OB, Andreassen OA.","medRxiv [Preprint]. 2024 Sep 24:2024.09.24.24314069. doi: 10.1101/2024.09.24.24314069.","Parker N","medRxiv","2024","2024/10/14","PMC11469398","","10.1101/2024.09.24.24314069"
"39371150","Variance quantitative trait loci reveal gene-gene interactions which alter blood traits","Pershad Y, Poisner H, Corty RW, Hellwege JN, Bick AG.","medRxiv [Preprint]. 2024 Sep 19:2024.09.18.24313883. doi: 10.1101/2024.09.18.24313883.","Pershad Y","medRxiv","2024","2024/10/07","PMC11451758","","10.1101/2024.09.18.24313883"
"39294509","Cancer pharmacoinformatics: Databases and analytical tools","Kamble P, Nagar PR, Bhakhar KA, Garg P, Sobhia ME, Naidu S, Bharatam PV.","Funct Integr Genomics. 2024 Sep 19;24(5):166. doi: 10.1007/s10142-024-01445-5.","Kamble P","Funct Integr Genomics","2024","2024/09/18","","","10.1007/s10142-024-01445-5"
"39336806","Comparison of B-Cell Lupus and Lymphoma Using a Novel Immune Imbalance Transcriptomics Algorithm Reveals Potential Therapeutic Targets","Rapier-Sharman N, Kim S, Mudrow M, Told MT, Fischer L, Fawson L, Parry J, Poole BD, O'Neill KL, Piccolo SR, Pickett BE.","Genes (Basel). 2024 Sep 17;15(9):1215. doi: 10.3390/genes15091215.","Rapier-Sharman N","Genes (Basel)","2024","2024/09/28","PMC11431704","","10.3390/genes15091215"
"38405768","Fine-mapping genomic loci refines bipolar disorder risk genes","Koromina M, Ravi A, Panagiotaropoulou G, Schilder BM, Humphrey J, Braun A, Bidgeli T, Chatzinakos C, Coombes B, Kim J, Liu X, Terao C, O 'Connell KS, Adams M, Rolf A, Alda M, Alfredsson L, Andlauer TFM, Andreassen OA, Antoniou A, Baune BT, Bengesser S, Biernacka J, Boehnke M, Bosch R, Cairns MJ, Carr VJ, Casas M, Catts S, Cichon S, Corvin A, Craddock N, Dafnas K, Dalkner N, Dannlowski U, Degenhardt F, Florio AD, Dikeos D, Fellendorf FT, Ferentinos P, Forstner AJ, Forty L, Frye M, Fullerton JM, Gawlik M, Gizer IR, Gordon-Smith K, Green MJ, Grigoroiu-Serbanescu M, Guzman-Parra J, Hahn T, Henskens F, Hillert J, Jablensky AV, Jones L, Jones I, Jonsson L, Kelsoe JR, Kircher T, Kirov G, Kittel-Schneider S, Kogevinas M, Landén M, Leboyer M, Lenger M, Lissowska J, Lochner C, Loughland C, MacIntyre D, Martin NG, Maratou E, Mathews CA, Mayoral F, McElroy SL, McGregor NW, McIntosh A, McQuillin A, Michie P, Mitchell PB, Moutsatsou P, Mowry B, Müller-Myhsok B, Myers RM, Nenadić I, Nievergelt C, Nöthen MM, Nurnberger J, O 'Donovan M, O'Donovan C, Ophoff RA, Owen MJ, Pantelis C, Pato C, Pato MT, Patrinos GP, Pawlak JM, Perlis RH, Porichi E, Posthuma D, Ramos-Quiroga JA, et al.","medRxiv [Preprint]. 2024 Sep 17:2024.02.12.24302716. doi: 10.1101/2024.02.12.24302716.","Koromina M","medRxiv","2024","2024/02/26","PMC10889003","","10.1101/2024.02.12.24302716"
