PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41481600","Targeting of interaction between BB0323-BB0238 informs new paradigms in Lyme disease therapeutics","Bista S, Brangulis K, Bhattachan B, Foor SD, Ronzetti MH, Jain S, Miller J, Subramanion JL, Kitsou C, Rana VS, Rai G, Zakharov AV, Simeonov A, Baljinnyam B, Pal U.","PLoS Pathog. 2026 Jan 2;22(1):e1013805. doi: 10.1371/journal.ppat.1013805. eCollection 2026 Jan.","Bista S","PLoS Pathog","2026","2026/01/02","PMC12758692","","10.1371/journal.ppat.1013805"
"41316447","Bioinformatics analysis of Rickettsia typhi autoimmune associations and screening of Streptomyces-derived inhibitors","Basharat Z, Ogaly HA, Al-Zahrani FAM, Wei CR, Hassan SS, Salman M, Islam M, Ahmed I, Waheed Y, Kim S.","BioData Min. 2025 Nov 28;18(1):83. doi: 10.1186/s13040-025-00499-w.","Basharat Z","BioData Min","2025","2025/11/29","PMC12661794","","10.1186/s13040-025-00499-w"
"41358306","Shared Genetic Architecture and Neurobiological Pathways of Problematic Alcohol Use and Anxiety Disorders","Shi M, Gunawan T, Malone SG, Setzer M, Piserchia Z, Davis CN, Rentsch CT, Friligkou E, Zhou H, Polimanti R, Wang L, Vaitinadin NS, Kranzler HR, Gray JC.","medRxiv [Preprint]. 2025 Nov 27:2025.11.24.25339061. doi: 10.1101/2025.11.24.25339061.","Shi M","medRxiv","2025","2025/12/08","PMC12676416","","10.1101/2025.11.24.25339061"
"41271784","MarkerPredict: predicting clinically relevant predictive biomarkers with machine learning","Veres DV, Csermely P, Schulc K.","NPJ Syst Biol Appl. 2025 Nov 21;11(1):132. doi: 10.1038/s41540-025-00603-0.","Veres DV","NPJ Syst Biol Appl","2025","2025/11/21","PMC12638940","","10.1038/s41540-025-00603-0"
"41271629","Identifying compounds to treat opiate use disorder by leveraging multi-omic data integration and multiple drug repurposing databases","Stratford JK, Carnes MU, Willis C, Minto MS, Elnimeiry L, Mathur R, Schu M, Quach BC, Carter J, Nolen T, Vandergrift N, Kosten TR, Johnson EO, Webb BT.","Transl Psychiatry. 2025 Nov 21;15(1):528. doi: 10.1038/s41398-025-03721-9.","Stratford JK","Transl Psychiatry","2025","2025/11/21","PMC12711988","","10.1038/s41398-025-03721-9"
"41292858","NUAK2 is a therapeutically tractable regulator of RNA splicing and tumor progression in neuroendocrine prostate cancer","Mehraj U, Maimekov U, Manzoor S, Cordova E, Patel M, Mancera-Ortiz IY, Howell S, Davis-Gilbert ZW, Wang ME, Chen M, Park JW, Wang Y, Armstrong AJ, Huang J, Drewry DH, Mitrofanova A, Macias E.","bioRxiv [Preprint]. 2025 Nov 13:2025.11.12.687734. doi: 10.1101/2025.11.12.687734.","Mehraj U","bioRxiv","2025","2025/11/26","PMC12642401","","10.1101/2025.11.12.687734"
"40405591","Identifying prognostic targets in metastatic prostate cancer beyond AR","Feng E, Feng E, Berg T, Nguyen IS, Nguyen LG, Chen W, Zhang M, Quigley D, Sharifi M, Li H, Coleman I, Nelson PS, Sjöström M, Zhao SG.","FEBS Open Bio. 2025 Nov;15(11):1827-1840. doi: 10.1002/2211-5463.70059. Epub 2025 May 22.","Feng E","FEBS Open Bio","2025","2025/05/23","PMC12582979","","10.1002/2211-5463.70059"
"41040311","Identification and classification of ion-channels across the tree of life provide functional insights into understudied CALHM channels","Taujale R, Park SJ, Gravel N, Soleymani S, Carter R, Boyd K, Keuning S, Ruan Z, Lü W, Kannan N.","bioRxiv [Preprint]. 2025 Sep 28:2025.02.10.637530. doi: 10.1101/2025.02.10.637530.","Taujale R","bioRxiv","2025","2025/10/03","PMC12485921","","10.1101/2025.02.10.637530"
"40983849","MKLNID: Identifying Melanoma-related Pathogenic Genes Through Multiple Kernel Learning and Network Impulsive Dynamics","Wang L, Xiang J, Guo Z, Zeng K, Li M.","Interdiscip Sci. 2025 Sep 22. doi: 10.1007/s12539-025-00755-x. Online ahead of print.","Wang L","Interdiscip Sci","2025","2025/09/22","","","10.1007/s12539-025-00755-x"
"38633814","Antisense oligonucleotide depletion of CCDC146 is a broad-spectrum therapeutic strategy for ALS","Zhang S, Moll T, Rubin-Sigler J, Tu S, Li S, Yuan E, Liu M, King M, Alhathli E, Treanor C, Twelvetrees A, Weinreich M, Bonsall S, Harvey C, Gornall S, Shaw A, Ganssauge J, Bhinge A, Souza CDS, Ferraiuolo L, Hornstein E, Shalem O, Avila A, Shelkovnikova T, van Dijk CH, Timpanaro IS, Kenna KP, Zeng J, van Damme P, Tsao PS, Shaw PJ, Ichida JK, Cooper-Knock J, Snyder MP.","medRxiv [Preprint]. 2025 Aug 19:2024.03.30.24305115. doi: 10.1101/2024.03.30.24305115.","Zhang S","medRxiv","2025","2024/04/18","PMC11023684","","10.1101/2024.03.30.24305115"
"40552083","TICTAC: target illumination clinical trial analytics with cheminformatics","Abok JI, Edwards JS, Yang JJ.","Front Bioinform. 2025 Jun 9;5:1579865. doi: 10.3389/fbinf.2025.1579865. eCollection 2025.","Abok JI","Front Bioinform","2025","2025/06/24","PMC12183303","","10.3389/fbinf.2025.1579865"
"40510904","Identifying and evaluating understudied protein kinases using biological and chemical criteria","Koch S, Bajorath J.","RSC Med Chem. 2025 Jun 5. doi: 10.1039/d5md00306g. Online ahead of print.","Koch S","RSC Med Chem","2025","2025/06/13","PMC12152735","","10.1039/d5md00306g"
"40130819","Identification of Tumor-Specific Surface Proteins Enables Quantification of Extracellular Vesicle Subtypes for Early Detection of Pancreatic Ductal Adenocarcinoma","Zhao C, Wang Z, Kim H, Kong H, Lee J, Yang JZ, Wang A, Zhang RY, Ju Y, Kim J, Feng B, Liu D, Zhang Y, Wang Z, Zhang Y, Guo S, Gao D, Tomlinson JS, Pei R, Wan J, Pandol SJ, Sim MS, You S, Ma D, Lu S, Sun N, Tseng HR, Zhu Y.","Adv Sci (Weinh). 2025 Jun;12(21):e2414982. doi: 10.1002/advs.202414982. Epub 2025 Mar 25.","Zhao C","Adv Sci (Weinh)","2025","2025/03/25","PMC12140334","","10.1002/advs.202414982"
"40437600","Identification of a rare variant in TNNT3 responsible for familial dilated cardiomyopathy through whole-exome sequencing and in silico analysis","Jadidi M, Babaali V, InanlooRahatloo K, Salehi N, Mollazadeh R.","Eur J Med Res. 2025 May 28;30(1):424. doi: 10.1186/s40001-025-02692-3.","Jadidi M","Eur J Med Res","2025","2025/05/28","PMC12117963","","10.1186/s40001-025-02692-3"
"40370991","The ROCK Inhibitor Fasudil and Sertraline Share Morphological and Molecular Effects in the Hippocampus of Chronically Stressed Rats: Exploring Common Antidepressant Pathways by Network Pharmacology","García-Rojo G, Valenzuela Martínez I, Aguayo F, Muñoz-Llanos M, Ramírez D, Fiedler JL.","ACS Pharmacol Transl Sci. 2025 Apr 3;8(5):1292-1312. doi: 10.1021/acsptsci.4c00680. eCollection 2025 May 9.","García-Rojo G","ACS Pharmacol Transl Sci","2025","2025/05/15","PMC12070322","","10.1021/acsptsci.4c00680"
