# ----------------------------------------
# Report CSV Export
# Account: dgidb.org
# Property: dgidb.org - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240124
# End date: 20250124
Country,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
China,11819,11189,12902,0.47294721407624635,1.0916321177764616,164.71554277011592,137104,0,0,0
United States,5310,5071,4543,0.4293545033550704,0.8555555555555555,109.32391713747646,48180,0,0,0
India,2873,2887,3647,0.49700190787680565,1.269404803341455,288.6303515489036,38131,0,0,0
United Kingdom,977,941,978,0.44034218820351195,1.0010235414534288,124.41351074718526,9795,0,0,0
Hong Kong,966,732,947,0.48638931689779147,0.9803312629399586,123.15217391304348,9171,0,0,0
Japan,823,671,812,0.4969400244798042,0.9866342648845686,126.46537059538275,8378,0,0,0
Germany,808,770,603,0.38261421319796957,0.7462871287128713,110.2128712871287,6686,0,0,0
South Korea,659,636,576,0.42321822189566494,0.874051593323217,113.95295902883156,5931,0,0,0
Iran,642,599,743,0.47842884739214425,1.1573208722741433,220.02180685358255,11507,0,0,0
Singapore,480,355,439,0.4730603448275862,0.9145833333333333,94.10208333333334,3590,0,0,0
Canada,469,458,488,0.46609360076408785,1.0405117270788913,114.37953091684435,4715,0,0,0
Taiwan,464,410,483,0.5089567966280295,1.040948275862069,264.17672413793105,5248,0,0,0
Italy,356,349,359,0.4818791946308725,1.0084269662921348,113.57022471910112,3114,0,0,0
Australia,343,332,319,0.41161290322580646,0.9300291545189504,116.14285714285714,3303,0,0,0
Spain,308,304,339,0.5363924050632911,1.1006493506493507,215.28896103896105,3537,0,0,0
Türkiye,289,284,389,0.487468671679198,1.3460207612456747,172.19377162629758,3152,0,0,0
France,283,263,277,0.46166666666666667,0.9787985865724381,108.72084805653711,2476,0,0,0
Brazil,278,276,292,0.4591194968553459,1.0503597122302157,139.27697841726618,2663,0,0,0
Pakistan,191,192,222,0.4673684210526316,1.162303664921466,215.54450261780104,2321,0,0,0
Netherlands,175,159,165,0.559322033898305,0.9428571428571428,112.09714285714286,1453,0,0,0
Switzerland,158,152,152,0.4293785310734463,0.9620253164556962,99.75316455696202,1387,0,0,0
Indonesia,148,144,129,0.38392857142857145,0.8716216216216216,164.96621621621622,1377,0,0,0
Sweden,141,134,124,0.4901185770750988,0.8794326241134752,119.41843971631205,1107,0,0,0
Mexico,138,136,148,0.4365781710914454,1.0724637681159421,190.54347826086956,1816,0,0,0
Bangladesh,133,132,116,0.4142857142857143,0.8721804511278195,107.55639097744361,1021,0,0,0
Egypt,112,112,120,0.48582995951417,1.0714285714285714,147.10714285714286,1216,0,0,0
Philippines,104,96,110,0.5238095238095238,1.0576923076923077,144.01923076923077,1341,0,0,0
Denmark,98,94,98,0.5,1,132.39795918367346,883,0,0,0
Austria,96,89,106,0.424,1.1041666666666667,166.29166666666666,1185,0,0,0
Greece,89,88,97,0.5025906735751295,1.0898876404494382,129.61797752808988,837,0,0,0
Poland,89,85,64,0.46715328467153283,0.7191011235955056,74.82022471910112,611,0,0,0
Saudi Arabia,86,86,71,0.39664804469273746,0.8255813953488372,193.69767441860466,801,0,0,0
Russia,84,80,83,0.4088669950738916,0.9880952380952381,139.29761904761904,1006,0,0,0
Israel,82,81,149,0.5359712230215827,1.8170731707317074,254.79268292682926,1594,0,0,0
Thailand,75,68,55,0.5188679245283019,0.7333333333333333,56.81333333333333,424,0,0,0
Colombia,71,71,61,0.5754716981132075,0.8591549295774648,57.45070422535211,414,0,0,0
Malaysia,71,67,85,0.5089820359281437,1.1971830985915493,99.16901408450704,646,0,0,0
Belgium,66,63,58,0.5686274509803921,0.8787878787878788,77.89393939393939,528,0,0,0
Ireland,61,60,80,0.46511627906976744,1.3114754098360655,140.47540983606558,708,0,0,0
Finland,57,55,56,0.4745762711864407,0.9824561403508771,176.5438596491228,518,0,0,0
Norway,51,46,62,0.496,1.2156862745098038,206,635,0,0,0
Vietnam,50,48,29,0.4027777777777778,0.58,54.56,276,0,0,0
Portugal,46,45,63,0.5887850467289719,1.3695652173913044,105.80434782608695,425,0,0,0
(not set),44,43,6,0.1276595744680851,0.13636363636363635,2.022727272727273,153,0,0,0
United Arab Emirates,42,37,43,0.36134453781512604,1.0238095238095237,273.14285714285717,459,0,0,0
Chile,41,41,57,0.4634146341463415,1.3902439024390243,188.85365853658536,507,0,0,0
Macao,36,33,55,0.5612244897959183,1.5277777777777777,66.69444444444444,380,0,0,0
Romania,35,33,23,0.36507936507936506,0.6571428571428571,84,217,0,0,0
Argentina,33,30,19,0.36538461538461536,0.5757575757575758,72.9090909090909,188,0,0,0
Cyprus,32,32,38,0.4691358024691358,1.1875,163.65625,309,0,0,0
Armenia,31,31,14,0.3181818181818182,0.45161290322580644,20.483870967741936,159,0,0,0
Nigeria,31,30,39,0.3939393939393939,1.2580645161290323,261.7096774193548,386,0,0,0
Hungary,30,29,22,0.41509433962264153,0.7333333333333333,53.63333333333333,193,0,0,0
Palau,30,27,24,0.6666666666666666,0.8,91.8,169,0,0,0
Algeria,29,29,32,0.5161290322580645,1.103448275862069,121.3103448275862,254,0,0,0
South Africa,28,28,25,0.32894736842105265,0.8928571428571429,171.46428571428572,372,0,0,0
New Zealand,22,22,18,0.5,0.8181818181818182,39,158,0,0,0
Qatar,22,22,15,0.3409090909090909,0.6818181818181818,199.36363636363637,158,0,0,0
Czechia,21,21,14,0.3888888888888889,0.6666666666666666,139.38095238095238,127,0,0,0
Croatia,20,20,12,0.3870967741935484,0.6,67.7,130,0,0,0
